Country.Name,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,Continent,Built_up_Land,Carbon,Cropland,Fishing,Forest_Products,Grazing_Land,BC2015,EF_Rank,Total_EF,EF_rank
Sri Lanka,1.235933083,1.251766654,1.256988147,1.210639622,1.316888489,1.415960287,1.402750415,1.350865929,1.485020612,1.586662909,Asia,0.056906204,0.488780434,0.355410233,0.267431308,0.171121438,0.011697998,0.506683678,Low,1.351347615,Medium & Low
Chad,1.475085806,1.509156934,1.49730802,1.456800904,1.709004131,1.455660399,1.657935454,1.558366139,1.613713325,1.49641868,Africa,0.052207055,0.032565719,0.396207799,0.012480357,0.274231329,0.77525272,1.892114665,Low,1.542944979,Medium & Low
Chile,3.749582786,3.808262549,3.862808121,3.336364684,4.014983885,4.219391317,4.196005652,4.246415243,3.996758453,4.284819785,Latin America and the Caribbean,0.105853784,1.620481418,0.533790549,0.343671363,0.994446279,0.373295855,3.505584028,Medium,3.971539248,Medium & Low
Colombia,1.943070029,1.939224911,1.913128178,1.926086212,2.032938073,1.993847537,1.909564812,1.935708706,1.997011718,2.0035288,Latin America and the Caribbean,0.097400595,0.667057586,0.361667993,0.036199947,0.156008398,0.641076378,3.688093308,Low,1.959410898,Medium & Low
Congo,0.857453672,0.841227372,0.823614836,0.818495568,0.799365549,0.795478755,0.783180023,0.777549903,0.76424211,0.722464067,Africa,0.050046538,0.065425147,0.147680488,0.014780275,0.504673479,0.015701259,0.279249595,Low,0.798307186,Medium & Low
Costa Rica,2.598141285,2.780136976,2.707722214,2.172648381,2.429908462,2.450680706,2.518362644,2.517842261,2.515642751,2.529976572,North America,0.101704274,1.060704635,0.365962745,0.05184395,0.72774771,0.214142912,1.537798569,Medium,2.522106225,Medium & Low
Cuba,1.892674033,1.946948128,1.936414505,1.867926264,1.973153664,1.965515651,1.931968462,1.864999426,1.85500941,1.857141683,North America,0.024242788,1.122090238,0.519612187,0.026640939,0.098446619,0.118142351,0.792037019,Low,1.909175123,Medium & Low
Azerbaijan,2.308993246,2.266689075,1.879381962,2.045015354,1.908045838,2.14871903,2.247035418,2.296512977,2.164817202,2.155216669,Europe,0.050125322,1.187424991,0.575224525,0.009633232,0.087189697,0.23244491,0.768895298,Medium,2.142042677,Medium & Low
Benin,1.173815794,1.217236686,1.302127863,1.316689655,1.250721344,1.359682714,1.308977584,1.414084741,1.402730746,1.322231063,Africa,0.037986785,0.34298923,0.519874914,0.07336691,0.287820456,0.044791525,0.913544565,Low,1.306829819,Medium & Low
Denmark,8.295613989,8.21222125,8.144751698,7.230426569,7.245162999,7.028801177,6.844741928,6.956985027,7.057796346,7.223513987,Europe,0.206267621,3.901373389,1.20068317,0.617969433,1.005107649,0.492600235,4.443469085,Very High,7.424001497,Very High
Dominican Republic,1.614328585,1.601926891,1.563602121,1.448255228,1.660681106,1.69226335,1.566883593,1.571894621,1.63735712,1.676415597,North America,0.044599865,0.878185781,0.393484166,0.042891038,0.116731797,0.127468175,0.600218273,Low,1.603360821,Medium & Low
Belarus,4.417803159,4.513908221,4.812543567,4.42780376,4.527020701,4.245945878,4.766126228,4.665317459,4.776573241,4.080985548,Europe,0.071267098,2.449759817,1.087385345,0.085396823,0.645423644,0.184170049,3.248318828,High,4.523402776,High
El Salvador,2.045557226,2.098282788,2.011957032,1.933076738,1.963010531,1.938006043,1.961581627,1.863501596,1.964027395,1.992792621,North America,0.04663322,0.754294301,0.431130432,0.119094851,0.409743009,0.216283547,0.561536499,Low,1.97717936,Medium & Low
Estonia,8.107480608,7.930233265,6.679832933,6.177294931,6.157307803,5.829197868,6.993753693,6.137701374,6.79641419,7.100528158,Europe,0.063301718,3.519866923,0.648347016,0.045567283,2.378012109,0.135879434,10.06299396,Very High,6.790974482,Very High
Fiji,2.871489418,2.535903595,2.372096107,2.240955735,2.590043665,3.059326083,3.350403505,3.131970075,3.857627914,3.095106173,Oceania,0.044600058,0.807318149,0.5188834,0.704341276,0.621255095,0.214094248,2.364895106,Medium,2.910492227,Medium & Low
France,5.477134955,5.577122576,5.654084262,5.302052248,5.248114569,5.067027918,4.988357012,4.834305818,4.749152195,4.698415924,Europe,0.160519189,2.998958829,0.953185529,0.185512547,0.581634895,0.27976576,2.719357122,High,5.159576748,High
Gambia,1.113218722,1.205342167,1.192835564,1.234757304,1.359045552,1.0628522,0.999509635,0.932627114,1.03423819,1.115115249,Africa,0.028860126,0.245278275,0.477877692,0.100460613,0.209969606,0.062507858,0.7297525,Low,1.12495417,Medium & Low
Germany,5.450522121,5.428992563,5.343926826,5.042418312,5.392067588,5.302762094,5.121603301,5.146429209,5.028058001,4.940209926,Europe,0.137950419,3.482958467,0.871909941,0.053421248,0.508396007,0.165062913,1.679493883,High,5.219698994,High
Bosnia and Herzegovina,3.089899153,3.157040842,3.483962964,3.294190417,3.187501481,3.481976032,3.37426345,3.3936753,3.321403982,3.444804323,Europe,0.01754312,1.768995905,0.726192114,0.020807251,0.484616453,0.304716952,1.773851261,Medium,3.322871794,Medium & Low
Ghana,1.767711525,1.788998618,1.808973298,1.843506589,1.907671813,1.935283361,2.003538213,1.995076881,1.900055448,1.991097484,Africa,0.069848673,0.358139034,0.543005984,0.209607952,0.644525408,0.069064272,1.337757883,Low,1.894191323,Medium & Low
Greece,6.100697089,6.369542737,5.896941105,5.62054476,5.100064829,4.742537345,4.382064591,4.046359438,4.247180084,4.12604628,Europe,0.055232542,3.178213876,1.086984722,0.098501861,0.298229853,0.346034973,1.430483804,High,5.063197826,High
Guadeloupe,3.731231161,3.944568429,3.964890007,3.699675841,3.977122719,4.297225044,4.300882965,4.319629139,4.312537886,4.174661762,North America,0.002903555,3.522645295,0.11488113,0.235247847,0.165159694,0.031404975,0.468519849,Medium,4.072242495,Medium & Low
Guinea,1.414820789,1.407078861,1.456017229,1.459349362,1.496624859,1.513929383,1.540889792,1.559587246,1.527154047,1.514518681,Africa,0.042809293,0.160081718,0.42204704,0.04017997,0.467643441,0.356235563,2.030082388,Low,1.488997025,Medium & Low
Guyana,2.253135088,2.543155913,2.59988277,2.706833234,2.609528265,3.071589774,3.312909253,3.226193022,2.66438645,2.206075877,Latin America and the Caribbean,0.066993017,1.062949993,0.639797199,0.041812905,0.779816102,0.12799975,68.23948994,Medium,2.719368965,Medium & Low
Haiti,0.59416036,0.616923803,0.599723917,0.628905812,0.660999696,0.644661266,0.615961413,0.67208839,0.65792027,0.688582959,Africa,0.031702274,0.129622175,0.319744539,0.014928128,0.104381181,0.037614492,0.330309382,Low,0.637992789,Medium & Low
Croatia,4.492794848,4.577618682,4.757312781,4.141011586,3.908486655,4.043373254,3.949078135,3.874152895,3.618650581,3.78979018,Africa,0.066960196,2.363828051,0.849332241,0.07490472,0.613793401,0.14640835,3.013220815,High,4.11522696,High
India,0.920275245,0.978697071,0.985990466,1.02236581,1.069518819,1.091698214,1.114692118,1.11799534,1.169753297,1.158076772,Asia,0.045795564,0.529872266,0.330311745,0.015772855,0.133009229,0.008144657,0.424334069,Low,1.062906315,Medium & Low
Indonesia,1.362623831,1.43248811,1.475789851,1.471204926,1.508486371,1.532730682,1.564272744,1.560521672,1.68176407,1.639532291,Asia,0.059358723,0.59150405,0.444859475,0.203816143,0.192280435,0.031122629,1.272990017,Low,1.522941455,Medium & Low
Israel,5.807535941,5.686814556,5.453147805,5.040710776,5.509983759,5.968171135,6.207942187,5.62200456,4.703557816,5.743111161,Asia,0.056511407,3.975218615,0.866472264,0.079443576,0.355494438,0.241157668,0.255585293,High,5.57429797,High
Italy,5.832834468,5.74735749,5.39163334,5.012288277,5.291252975,5.130679875,4.609495286,4.422553929,4.394729007,4.44769113,Europe,0.049281588,3.144203116,0.892556674,0.127788546,0.462654517,0.351567137,0.943176315,High,5.028051578,High
Kazakhstan,5.083070235,5.632877935,5.923353925,5.70479034,5.54850096,6.829868594,5.473907808,6.42606051,5.721845372,5.630675403,Asia,0.039785268,4.484174892,0.981488388,0.030588877,0.08646369,0.174993994,3.456491818,High,5.797495108,High
Japan,5.006170733,5.006386052,4.834436708,4.461647603,4.692077651,4.750790176,4.762636822,4.806180347,4.709773068,4.469383061,Asia,0.06071207,3.510123896,0.466761148,0.357689584,0.251439049,0.103222474,0.604534869,High,4.749948222,High
Jordan,2.223402649,2.278108792,2.075937983,1.998058179,1.8287756,1.825793797,1.977522917,1.820155954,1.88081257,1.95008823,Asia,0.067178846,1.089416477,0.508915359,0.030184984,0.144676782,0.145493219,0.19400119,Low,1.985865667,Medium & Low
Kenya,1.093937332,1.053722543,0.979906576,1.027690454,1.028774201,1.057715068,1.047925199,1.028695034,1.050442616,1.069587405,Africa,0.037971518,0.192566224,0.244667881,0.04702042,0.278171724,0.243441876,0.529132128,Low,1.043839643,Medium & Low
Kuwait,10.05653834,10.42317558,10.34532567,10.55908131,9.131245134,8.64643746,8.188942247,8.442224654,7.824258137,8.428297036,Asia,0.179409446,7.687313412,0.70770593,0.079177671,0.214464112,0.336481987,0.57689866,Very High,9.204552557,Very High
Latvia,5.699104577,6.351760576,4.783420161,4.526768796,4.443910799,5.061952566,5.113798307,5.440268506,5.839392159,6.2647067,Europe,0.049059098,1.871242284,0.806080405,0.182057328,2.301353905,0.142715295,8.566482935,High,5.352508315,High
